E_anharm,T,Z_vib,lnZ_vib,U,Cv,Cv_tot
0.0,1.0,1.0,0.0,0.0,0.0,1.5
1.0,11.009009009009009,1.0,0.0,0.0,0.0,0.83183523759944844
1.94,21.018018018018019,1.0,0.0,0.0,0.0,1.4995041961401303
2.82,31.027027027027028,1.0,0.0,0.0,0.0,1.4999287644064441
3.64,41.036036036036037,1.0,0.0,0.0,0.0,1.4999920949095056
4.4,51.045045045045043,1.0,0.0,0.0,0.0,1.5005123465424071
5.1,61.054054054054056,1.0,0.0,0.0,0.0,1.5042355269118226
5.74,71.063063063063069,1.0,0.0,0.0,0.0,1.5163240651239318
6.32,81.072072072072075,1.0,0.0,0.0,0.0,1.541297578176307
6.84,91.081081081081081,1.0,0.0,0.0,0.0,1.5806851561150888
7.300000000000001,101.09009009009009,1.0,0.0,0.0,0.0,1.6329885877290657
NAN,111.09909909909911,1.0,0.0,0.0,0.0,1.694803165069638
NAN,121.10810810810811,1.0,0.0,0.0,0.0,1.7620637258346725
NAN,131.11711711711712,1.0,0.0,0.0,0.0,1.8309886855776845
NAN,141.12612612612614,1.0,0.0,0.0,0.0,1.8986109582372535
NAN,151.13513513513513,1.0,0.0,0.0,0.0,1.9629363215678901
NAN,161.14414414414415,1.0,0.0,0.0,0.0,2.0228466779752163
NAN,171.15315315315317,1.0,0.0,0.0,0.0,2.077881559706988
NAN,181.16216216216216,1.0,0.0,0.0,0.0,2.1280027107884947
NAN,191.17117117117118,1.0,0.0,0.0,0.0,2.1734010250436331
NAN,201.18018018018017,1.0,0.0,0.0,0.0,2.2143651854095485
NAN,211.18918918918919,1.0,0.0,0.0,0.0,2.2512067136410434
NAN,221.19819819819821,1.0,0.0,0.0,0.0,2.2842258142592318
NAN,231.2072072072072,1.0,0.0,0.0,0.0,2.3137017754325599
NAN,241.21621621621622,1.0,0.0,0.0,0.0,2.3398951373599122
NAN,251.22522522522524,1.0,0.0,0.0,0.0,2.3630536107629534
NAN,261.23423423423424,1.0,0.0,0.0,0.0,2.3834173120520825
NAN,271.24324324324323,1.0,0.0,0.0,0.0,2.4012218629217132
NAN,281.25225225225228,1.0,0.0,0.0,5.3346216333238784e-14,2.4166990631439074
NAN,291.26126126126127,1.0,0.0,0.0,1.7053025658242362e-13,2.4300757949666507
NAN,301.27027027027026,1.0,0.0,9.2028898126830517e-17,3.6981528950263853e-13,2.4415719024552685
NAN,311.27927927927931,1.0,0.0,2.9418603022437312e-16,9.203748874142534e-13,2.4513976900471977
NAN,321.2882882882883,1.0000000000000002,2.2204460492503128e-16,7.3000654570325573e-16,2.5008883852706103e-12,2.4597515734374884
NAN,331.29729729729729,1.0000000000000007,6.6613381477509373e-16,1.8819478730369091e-15,6.1033400555742306e-12,2.4668181977631365
NAN,341.30630630630634,1.0000000000000018,1.7763568394002489e-15,5.0443519342671881e-15,1.402278293482992e-11,2.4727671046656865
NAN,351.31531531531533,1.0000000000000044,4.4408920985006167e-15,1.2410973150090589e-14,3.096101153232376e-11,2.477752084014059
NAN,361.32432432432432,1.0000000000000113,1.1324274851176532e-14,2.9235407099318115e-14,6.529038421020162e-11,2.4819110049301623
NAN,371.33333333333337,1.0000000000000266,2.6645352591003404e-14,6.5822592043791036e-14,1.329967247442603e-10,2.4853662380210819
NAN,381.34234234234236,1.0000000000000608,6.0840221749456723e-14,1.4186948932940962e-13,2.6134583386272446e-10,2.4882253064282507
NAN,391.35135135135135,1.0000000000001323,1.323385845353099e-13,2.9525858345946483e-13,4.964779698460435e-10,2.4905819235014475
NAN,401.36036036036035,1.0000000000002771,2.771116669464007e-13,5.9272375367277216e-13,9.148874435787379e-10,2.4925170856326568
NAN,411.36936936936939,1.0000000000005602,5.6021853822569708e-13,1.1517452033119909e-12,1.6381300760221364e-09,2.4941003412006624
NAN,421.37837837837839,1.0000000000010947,1.0946799022798052e-12,2.1710190692519474e-12,2.8554012487509278e-09,2.4953909635942124
NAN,431.38738738738738,1.0000000000020741,2.0741186546025663e-12,3.977724555680908e-12,4.85364171067984e-09,2.4964392315942945
NAN,441.39639639639643,1.0000000000038172,3.8171688032589277e-12,7.0969435057858285e-12,8.0590259463358e-09,2.4972875367835048
NAN,451.40540540540542,1.000000000006838,6.8380856532478842e-12,1.2350863819129989e-11,1.30902562116514e-08,2.4979713969153754
NAN,461.41441441441441,1.0000000000119433,1.1943335209636262e-11,2.0999771649844998e-11,2.0827260248018055e-08,2.4985205231203471
NAN,471.42342342342346,1.000000000020372,2.0371926367849338e-11,3.4933193704175047e-11,3.2499535946916046e-08,2.4989595867943137
NAN,481.43243243243245,1.0000000000339857,3.3985703140037928e-11,5.6929401591220778e-11,4.97945371496444e-08,2.4993090441565267
NAN,491.44144144144144,1.0000000000555276,5.5527582530480621e-11,9.0998959721107064e-11,7.499119056583453e-08,2.4995857574077061
NAN,501.45045045045049,1.000000000088963,8.8963059137676275e-11,1.4283120872204873e-10,1.111191620933763e-07,2.4998035890914023
NAN,511.45945945945948,1.0000000001399263,1.3992629276502715e-10,2.2036814672927475e-10,1.621478587945153e-07,2.5000001111191619
NAN,521.46846846846847,1.0000000002162905,2.1629054100961324e-10,3.3452566713218351e-10,2.332090781196396e-07,2.5000001621478587
NAN,531.47747747747746,1.0000000003288914,3.2889135853784701e-10,5.0009349192093322e-10,3.3085002216796044e-07,2.5000002332090778
NAN,541.48648648648646,1.0000000004924228,4.9242276910587874e-10,7.3684050720364057e-10,4.633245055513417e-07,2.500000330850022
NAN,551.49549549549556,1.0000000007265433,7.2654326972706539e-10,1.0708511778110877e-09,6.409196309784025e-07,2.5000004633245059
NAN,561.50450450450455,1.0000000010572134,1.0572134273541341e-09,1.5361332528164376e-09,8.763171059857986e-07,2.5000006409196311
NAN,571.51351351351354,1.0000000015183013,1.5183012613404632e-09,2.1765177363978498e-09,1.1849915758981191e-06,2.500000876317106
NAN,581.52252252252254,1.000000002153486,2.1534860538257647e-09,3.0478899099294797e-09,1.5856436676103864e-06,2.500001184991576
NAN,591.53153153153153,1.000000003018489,3.0184890097391626e-09,4.2207764770413168e-09,2.1006658313493993e-06,2.5000015856436679
NAN,601.54054054054052,1.0000000041836665,4.1836665155751351e-09,5.783323640419701e-09,2.7566377012558233e-06,2.5000021006658315
